-0.04497524,0.01091210,0.78768635,-0.00839458,0.01319788,-0.00093815,0.99987721,-0.01148252,0.11326643,0.13352425,0.20427591,-0.21116658,-0.10534121,-0.01209867,-0.00336885,-0.14647789,0.12393016,-0.15614280,0.00968342,-0.02508170,0.03878129,0.03741376,-0.04417450,0.20242654,-0.76079363,1.18102419,0.06295124,0.03167214,0.05640965,-0.06257183,-0.18240425,0.76658410,1.25239182,0.16995771,0.04376429,-0.08864740
-0.05004711,0.00977724,0.78798878,-0.00937396,0.01508023,-0.00106345,0.99984175,-0.03432360,0.11969294,0.13036104,0.22896054,-0.21332009,-0.10653403,-0.02093836,0.00102142,-0.14770749,0.12234123,-0.14725327,0.00536254,-0.02054020,0.04261564,0.04517550,-0.05528028,0.20290729,-0.75791544,1.17467368,0.05952447,0.03373896,0.05962677,-0.07226672,-0.18292500,0.77930433,1.24849820,0.16556716,0.04528472,-0.08454530
-0.05797349,0.00770066,0.78815937,-0.01064693,0.01847270,0.00085857,0.99977231,-0.07163370,0.12665881,0.11884146,0.26772290,-0.21505475,-0.10673967,-0.03641690,0.00650442,-0.15321204,0.12182904,-0.13504231,-0.00362529,-0.01710802,0.04789653,0.05641395,-0.06960054,0.20319319,-0.75006115,1.16705167,0.05762206,0.03252262,0.06459741,-0.09006230,-0.18620014,0.79715174,1.24446785,0.16000064,0.04541289,-0.07729990
-0.06660043,0.00490823,0.78826642,-0.01229933,0.02346649,0.00529360,0.99963492,-0.12445956,0.13331316,0.09784554,0.32174253,-0.21433224,-0.10610075,-0.05865667,0.01262259,-0.16413219,0.12127727,-0.11930090,-0.01533015,-0.01514831,0.05431838,0.06934118,-0.08776152,0.20417133,-0.73526919,1.15990639,0.05098978,0.02964507,0.07194692,-0.11420484,-0.19321989,0.81230694,1.23964036,0.15212475,0.04563212,-0.06818428
-0.07638157,0.00148581,0.78788328,-0.01496027,0.02857783,0.01308317,0.99939400,-0.18703020,0.13875307,0.06688025,0.38717186,-0.21232244,-0.10526695,-0.08218726,0.01977276,-0.18293849,0.12046150,-0.10397630,-0.02778275,-0.01433494,0.06299534,0.08430152,-0.10917818,0.20572408,-0.71592677,1.15214622,0.03179416,0.02443088,0.08181866,-0.13892049,-0.20429549,0.82065409,1.23102975,0.14755853,0.04549694,-0.06046198
-0.08706477,-0.00239069,0.78662539,-0.01924764,0.03315090,0.02478124,0.99895763,-0.25491348,0.14142321,0.02362790,0.45512411,-0.20913298,-0.10623362,-0.10497597,0.02844055,-0.21144533,0.11856962,-0.08991016,-0.03948095,-0.01442516,0.07587041,0.10164241,-0.13306776,0.20811154,-0.69662619,1.14064217,0.00842592,0.01679822,0.09220834,-0.16241902,-0.21862622,0.82284808,1.21937633,0.15004103,0.04298333,-0.05629215
-0.09792735,-0.00602335,0.78459126,-0.02469087,0.03673130,0.03761522,0.99831170,-0.31717387,0.14058611,-0.02685879,0.51042223,-0.20741810,-0.11349866,-0.12420063,0.03870214,-0.24331261,0.11416192,-0.07857185,-0.04873655,-0.01389838,0.09281153,0.11981571,-0.15679391,0.21111809,-0.67757434,1.12317145,-0.00721335,0.00943824,0.10391391,-0.18403494,-0.23448460,0.81890815,1.21179116,0.16095512,0.03941995,-0.05788323
-0.10862906,-0.00897893,0.78269601,-0.03142739,0.03878273,0.04814378,0.99759233,-0.36006472,0.14108536,-0.07541005,0.54438466,-0.21927439,-0.13510543,-0.14009783,0.05234079,-0.27143580,0.10721227,-0.06698852,-0.05837630,-0.01112055,0.11406332,0.13730823,-0.17373402,0.21143095,-0.65769565,1.10856080,-0.01511612,-0.00166173,0.11474104,-0.20486812,-0.25312686,0.81908226,1.21415520,0.17730062,0.03361259,-0.05788176
-0.11976628,-0.01091741,0.78110158,-0.03600614,0.03814935,0.05243411,0.99724561,-0.37695345,0.14670295,-0.09209339,0.59964830,-0.26822212,-0.15506144,-0.15035467,0.06413649,-0.28072241,0.10318191,-0.05757997,-0.06514575,-0.00297587,0.12978362,0.15014465,-0.18061982,0.20880744,-0.63693899,1.09914863,-0.02139870,-0.00370864,0.12607598,-0.22448619,-0.26839641,0.81778771,1.22363341,0.19377899,0.03517014,-0.05588901
-0.12810642,-0.01311672,0.78023380,-0.03687488,0.03603959,0.05341125,0.99724048,-0.38311997,0.15825327,-0.07511315,0.70722485,-0.31658503,-0.15598029,-0.15740329,0.06772584,-0.28081730,0.10185758,-0.04985686,-0.06698635,0.00181744,0.13472638,0.15630443,-0.18165074,0.20411840,-0.61777693,1.10067010,-0.03172317,-0.00233697,0.13126922,-0.24091817,-0.27779874,0.81257415,1.23660517,0.20149629,0.04127826,-0.05409945
